Metrics,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Precision@20%,1,-0.163883652,-0.207442642,-0.116572599,-0.556648977,-0.210360756,0.962964067,-0.120641253
Recall@20%,-0.163883652,1,0.882454325,0.805793272,0.080748492,0.774548886,-0.166643304,0.848165882
PofB@20%,-0.207442642,0.882454325,1,0.689373663,0.131240028,0.768574867,-0.220706825,0.68195095
PMI@20%,-0.116572599,0.805793272,0.689373663,1,-0.07643505,0.428050213,-0.075004589,0.679321893
IFA,-0.556648977,0.080748492,0.131240028,-0.07643505,1,0.229141621,-0.574074098,0.102643501
Norm(Popt),-0.210360756,0.774548886,0.768574867,0.428050213,0.229141621,1,-0.233717227,0.603952756
Precision,0.962964067,-0.166643304,-0.220706825,-0.075004589,-0.574074098,-0.233717227,1,-0.181165628
Recall,-0.120641253,0.848165882,0.68195095,0.679321893,0.102643501,0.603952756,-0.181165628,1
