Metrics,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Precision@20%,1,-0.120994356,-0.117858772,-0.269827938,-0.645539392,-0.144672968,0.870290185,-0.005909478
Recall@20%,-0.120994356,1,0.853935467,0.681426577,-0.038512563,0.794465374,-0.117593041,0.797326866
PofB@20%,-0.117858772,0.853935467,1,0.526335856,-0.144695022,0.819171176,-0.053863194,0.575665382
PMI@20%,-0.269827938,0.681426577,0.526335856,1,0.311913303,0.336566108,-0.218086627,0.511941631
IFA,-0.645539392,-0.038512563,-0.144695022,0.311913303,1,-0.150741881,-0.66309253,0.058497209
Norm(Popt),-0.144672968,0.794465374,0.819171176,0.336566108,-0.150741881,1,-0.049490873,0.515191529
Precision,0.870290185,-0.117593041,-0.053863194,-0.218086627,-0.66309253,-0.049490873,1,-0.032603269
Recall,-0.005909478,0.797326866,0.575665382,0.511941631,0.058497209,0.515191529,-0.032603269,1
