Metrics,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Precision@20%,1,-0.151459713,-0.123445472,-0.211908306,-0.461155108,-0.108288646,0.966664516,-0.103674106
Recall@20%,-0.151459713,1,0.880468523,0.715984025,-0.04056589,0.683374044,-0.056215444,0.757874648
PofB@20%,-0.123445472,0.880468523,1,0.531953165,-0.058182192,0.720036529,-0.090017527,0.708036534
PMI@20%,-0.211908306,0.715984025,0.531953165,1,-0.091810061,0.219583281,-0.101761283,0.435822454
IFA,-0.461155108,-0.04056589,-0.058182192,-0.091810061,1,0.046089242,-0.462094116,0.031749705
Norm(Popt),-0.108288646,0.683374044,0.720036529,0.219583281,0.046089242,1,-0.085611881,0.535323798
Precision,0.966664516,-0.056215444,-0.090017527,-0.101761283,-0.462094116,-0.085611881,1,-0.11266336
Recall,-0.103674106,0.757874648,0.708036534,0.435822454,0.031749705,0.535323798,-0.11266336,1
